,tags,content
10,온라인(디스코드) 아침 모각코 구합니다,"[개발 스터디 모집 내용 예시]스터디 주제 : 디스코드로 모여서 캠 켜놓고 각자 코딩하기스터디 목표 : 오전 ~ 오후 시간을 활용하고 각자 독려하기 위해 모집예상 스터디 일정(횟수) : 평일 오전 9시 30분에 출석해서 각자 공부할 것 말하고 10시부터 시작해봐요 예상 커리큘럼 간략히 : 없습니다 각자 공부(강의, 독서 등등) 할 거 하면서 교류해요예상 모집인원 : 4-5명스터디 소개와 개설 이유 : 스터디 관련 주의사항 : 캠(손, 키보드 등등 얼굴 X) 혹은 화면공유 필수입니다스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) 가끔 스몰톡도 나눌 수 있는 스터디가 됐으면 좋겠습니다공부는 자율적으로 독려는 함께가 모토입니다오픈카톡으로 연락주세요https://open.kakao.com/o/gbfBsv5f"
11,개발과외 합니다,"안녕하세요.보유지식 : C#, JAVA, Kotlin, WPF, REST API 등맞춤형 과외를 진행해드리고 있습니다.입문자 효율적으로 개발공부 하고싶으신 분취업준비 : 코딩테스트, 기초사전지식, 이력서 작성 등포트폴리오 : 회사가 원하는 or 준비해야하는 준비물 등실무자회사업무를 진행하다 사수가 없어서 막힌부분을 해결하고 싶으신 분신속한 소스분석 / 정확한 구글링 방법등미래의 대한 준비 : 연차수에 맞는 개발능력이 맞는지, 물경력 타파이직준비 : 이력서 작성 및 준비사항 등 지원방법이름 / 나이 / 연락처 / 사는곳 / 직업 / 신청이유메일로 연락주세요.tutorings90@gmail.com"
12,정처기(정보처리기사) 필기 스터디 모임,"[개발 스터디 모집 내용 예시]스터디 주제 : 정보처리기사 2월 23일 대비스터디 목표 : 필기 합격예상 스터디 일정(횟수) : 1~2회예상 커리큘럼 간략히 : 정처기 전체 필기 공부 및 문제 풀이예상 모집인원 : 5명스터디 소개와 개설 이유 : 저는 강제성이 있어야 공부를 하는 사람이라 강제성을 만들고 싶어요!스터디 관련 주의사항 : 열심히 할 사람을 원해요!스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : sue5520607@skuniv.ac.kr 메일로 이름, 전화번호를 남겨주세요!위치 : 홍대입구역 근처 카페요일 : 주말시간 : 14:00(변경 가능성 o)1월 30일까지 연락주세요!"
13,알고리즘 스터디 모집합니다.,"[개발 스터디 모집 내용 예시]스터디 주제 : 알고리즘스터디 목표 : 1주에 5문제, 화요일 10시 회고예상 스터디 일정(횟수) : 매주 화요일예상 커리큘럼 간략히 : 카카오 등 공개된 기술 기업들의 기출문제와 프로그래머스 레벨2 ~ 레벨3 문제예상 모집인원 : 4명스터디 소개와 개설 이유 : 24년 하반기 취업스터디 관련 주의사항 : 약속을 중요하게 여기는 분만 지원해주세요!스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/gPMsZs5f궁금한 사항, 건의 사항은 오픈카톡에서 말씀해주세요!"
14,강서구 모각코 모집합니다,"[개발 스터디 모집 내용 예시]스터디 주제 : 모각코스터디 목표 : 매주 꾸준히 코딩하기예상 스터디 일정(횟수) : 토요일 오전 필수 / 일요일 자율예상 커리큘럼 간략히 :예상 모집인원 : 6명스터디 소개와 개설 이유 : 모여서 열심히 각자 코딩해서 좋은 곳으로 취직 or 이직해요스터디 관련 주의사항 : 토요일 필참입니다스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/s3ZTGs5f매주 토요일 오전 10-1시 강서구 지역(가양 등촌 마곡나루 등등..) 모각코 모집합니다. 인원 모이면 당장 이번주부터 모일 생각입니다 많이 참여해주세요!!!"
15,자바 스프링 5개월 과정 수업(유료),"🚀 자바 스프링 5개월 과정 수업 (유료) 🚀안녕하세요! 자바 스프링 현업 개발자 기초부터 실무, 프로젝트까지 수업 진행합니다. ✨ 수업 내용:-자바 기초: 자바 문법과 객체지향 프로그래밍 기초를 탄탄히 학습합니다.-스프링 프레임워크: 현업에서 사용되는 스프링 프레임워크를 기초부터 학습합니다.-데이터베이스 연동: 스프링과 데이터베이스 연동에 대한 이해를 통해 실무에서 필요한 데이터 관리 기술을 습득합니다. 💡 대상:-자바, 스프링 기초부터 개념을 확실하게 다지고 싶으신 분-자바 프로그래밍에 관심 있으신 분-웹 개발에 도전하고자 하시는 분-스프링 프레임워크 실무 경험을 쌓고 싶은 분-실무 프로젝트를 경험하며 포트폴리오를 만들고 싶은 분 📅 일정 및 장소:기간: 3개월 16회차수업 시간: -자바 (1개월) : 주 2회 4시간 8회차-스프링 (2개월) : 주 1회 2시간 8회차-프로젝트 (2개월) 🎓 수업 특징:현업 개발자 강의 + 멘토링 + 수업 관리실무에서 활용 가능한 실전 경험을 공유합니다.입문자도 기초부터 개념을 학습하며 체계적으로 배우실수 있습니다. ※ 진짜로 하실분만 연락 부탁드립니다 📝 수강 문의: https://open.kakao.com/o/so4IVj4f"
16,"삼성역, 코엑스 웹개발 모각코","스터디 주제 : 삼성역, 코엑스 웹개발 모각코스터디 목표 : 퇴근 후 모여 자기전까지 모각코 예상 스터디 일정(횟수) : 일단 화,수로 시작예상 커리큘럼 간략히 :예상 모집인원 : 6스터디 소개와 개설 이유스터디 관련 주의사항 :스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)댓글 남겨주시고 오픈채팅방 들어오시면 됩니다.https://open.kakao.com/o/gpr1kZ0f 비번 0001"
17,[무료] 👨‍💻프론트엔드 1:1 코드리뷰 멘토링을 진행중입니다,"안녕하세요 🙇  프론트엔드 멘토링 크루 코드웨이브입니다저희가 제공해드리는 사전 과제를 완성해주시면,1:1로 코드 리뷰를 해 드리는 방식의 멘토링을 통해여러분이 코드를 구성할 때 바라보는 시야를 넓힐 수 있도록 도와드리려고 합니다🤔 어떤 방식으로 진행하실껀가요사전에 제공하는 과제를 완성해주시고 1:1로 코드리뷰를 진행하는 방식으로 하려고 합니다아래 3가지 방법 중 원하시는 방법 한 가지를 선택해주시면 됩니다pull request를 통한 간단한 리뷰온라인 실시간 멘토링오프라인 실시간 멘토링 (잠실에서만 가능) ⬇멘토링 후기 보기review⬇자세한 사항은 아래 링크를 통해 확인 후 문의해주세요https://velog.io/@popp30/1 instagram: _code.wave_"
18,프론트 / 백엔드 / 모바일 개발 과외,"안녕하세요, ​현재 스타트업에서 풀스택 개발자로 재직중인 개발자입니다.​입문개발자로서 실무개발을 희망하시는 분, 개발에 입문하고자 하시는 분등등학교에서 교양과목으로 모바일, 웹, front/beck -end 두루 경험해보고 싶으신 분,취미로 하시는분등등 각각에 환경에 맞춰서 과외해 드립니다. ^^ iOS 앱 개발 부터 웹 / 백엔드 등 자바 스프링 / 자바스크립트 기반의 프레임워크 (NodeJS, React, ReactNative 등등)강의도 가능합니다. ​가능한 커리큘럼은 아래와 같구요. 보통 2달만에 원하시는 목표가 가능한 수준까지 맞춰 드립니다.​iOS - Basic Swift, RxSwift, Reactive Programming, Open Source …React/ReactNative - Html/Css, Class/Functional Component, Typescript, Hooks(with Custom) …Server - ExpressJS - TypeScript, NestJS, Java/Kotlin Spring​실무에 맞는 커리큘럼이고, 입문자들도 무난하게 들으실수 있을겁니다.단기간에 빠르게 배우시길 원하시는 분이나 체계적으로 배우고 싶으신 분들에게 적합할듯 합니다.참고로 찔러보기 하시는 분들 많으시는데.... 그러지 맙시다^^​문의/관심 있으신 분은 메일로 연락 부탁드립니다. 참고로 유료입니다.joke716@naver.com"
19,오브젝트 도서 스터디 모집합니다.,"[개발 스터디 모집 내용 예시]스터디 주제 : 오브젝트 도서를 읽고 인사이트 공유스터디 목표 : 오브젝트 도서 완독예상 스터디 일정(횟수) : 2024-01-30 ~ 10주 예상예상 커리큘럼 간략히 : 매 주 50P 정도 분량의 책을 읽고 정리하고 해당 자료를 공유하며 오프라인에서는 인사이트를 공유하거나 궁금한 부분과 토론을 진행하는 방식예상 모집인원 : 5명 예상 (현재는 4인, 1인 추가 모집)스터디 소개와 개설 이유 : 평소 개발책 스터디를 자주 진행합니다만, 더 다양한 분들과 함께 스터디를 진행하고 싶어서 개설하게 되었습니다.여러 사람들과 같은 책을 읽어도 다양한 인사이트와 시각을 볼 수 있는게 상당히 흥미롭고 책도 같이 읽을 수 있어서 좋아하니 많이많이 지원해주세요~~스터디 관련 주의사항 : 상세한 주의사항은 꼭 해당 게시글을 읽어주시길 바랍니다.가장 대표적으로 스터디룸 금액이 들고 보증금 제도를 채용하고 있으니 이점 양해 부탁드립니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/sHhhgV3f"
20,평일 퇴근 후 문정역 오프라인 스터디 인원 모집합니다.,"스터디 목표 : 혼자서는 죽어도 공부 시간 안내는 나를 위한 퇴근 후 개인 공부 시간 확보예상 스터디 일정(횟수)화요일, 목요일(공휴일 제외) 오후 7시 30분-8시 30분 진행위의 적힌 시간은 코어 시간대일뿐 더 일찍 와서 해도 되고 더 늦게 까지 공부하셔도 됩니다.또한 위의 요일 외에도 단톡방에서 개별 모집하여 진행하셔도 괜찮습니다. 멋지십니다.시작일은 1월 25일(목)부터 입니다.예상 커리큘럼 간략히 화, 목에 지정한 위치로 오셔서 인사 가볍게 나누고 바로 개인 공부 진행합니다. 장소는 문정역 근처에 있는 카페에서 진행할 예정이고, 딴짓하기 방지용으로 자리는 따로 앉지 않고 옹기종기 모여앉으려 합니다.예상 모집인원 : 6명 스터디 관련 주의사항 : 1. 본 스터디는 영원불멸로 계속 하는 것이 아닌 3월 29일까지만 진행하려 합니다. 2. 평일 퇴근 후 스터디인지라 출결을 빡빡하게 하진 않으려 합니다. 스스로 열심히 하실 분들이 오시면 좋겠습니다.3. 개발자뿐 아니라 다른 공부 하시는 분들이 오셔도 상관없습니다. 같이 공부해요.4. 직장인뿐만 아니라 취준 혹은 다른 형태의 분들도 오셔도 괜찮습니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/gbQFkh5f위의 주소로 오신 후 간단히 인사해주시면 안내드리겠습니다."
21,기초를 마스터할 스터디원 모집합니다!,"📍모집 공고▪모집 기간: 01.08(월) ~ (모집 정원 마감때까지)▪모집 인원: 00명(해당 언어별 모집되는 인원에 따라 변동이 있습니다)▪모임장소 : 서울 인근(인원에 따라 유동적)▪지원 방법: 구글폼 작성(하단에 있습니다) 😟문과는 코딩 안할 줄 알았던 사람🧐남들 다 하는 코딩 찍먹 해보고 싶은 사람🙄다들 코딩, 코딩 하는데 그게 뭔지 같이 좀 알고 싶은 사람🫣코딩 배워보고는 싶은데 혼자서는 도저히 엄두가 안나는 사람(하나라도 해당된다면 당신은 저희와 함께하실 수 있습니다!) 이젠 코딩이 기초 교육이 되는 시대!꼭 이공계 전공이 아니더라도 프로그래밍 언어 하나쯤은 할 줄 알아야 하는 지금!이번 방학 동안 대표적인 언어 파이썬, C++, JAVA 중 하나라도 마스터 해보고 싶은 사람을 찾습니다!!코딩 기초 스터디는 코딩과 전혀 관계 없는(줄 알았던) 전공을 가진 대학생들이 모여 만든 스터디입니다!! 📍기본 커리큘럼-파이썬: 머신러닝, 데이터 사이언스 등에 사용되는 언어(제일 쉬워요)1회차: 파이썬 기본 개념 및 노트북 세팅2회차: 변수, 문자열 등 기본 데이터3회차: 리스트, 튜플 등 자료구조4회차: 반복문5회차: 함수 -C++: 온라인 게임 개발, 임베디드 시스템 등에 사용되는 언어(게임 개발은 이거)1회차: C++ 기본 개념 및 노트북 세팅2회차: 변수3회차: 조건문4회차: 반복문5회차: 함수 -JAVA: 안드로이드 앱 개발 등 IT계열 전반에 사용되는 언어(취업 제일 잘된대요)1회차: JAVA의 기본 개념 및 노트북 세팅2회차: 변수3회차: 연산자4회차: 조건문과 반복문5회차: 배열(각 언어의 커리큘럼은 변경될 수 있습니다) 🤖당신은 로봇이 아닙니까?(지원해주세요) : https://forms.gle/uFkYZwESyyhciLkd6"
